source_id,bucket,source_group,title,url,published_at,collected_at,file_path,word_count,status,notes
personal_site_home,self,personal_site,Blake Mycoskie | Founder of ENOUGH & TOMS | Mental Wellness Advocate,https://blakemycoskie.com/,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_home.txt,982,ok,
personal_site_about,self,personal_site,About Blake Mycoskie Social Entrepreneur & Mental Wellness Advocate,https://blakemycoskie.com/about,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_about.txt,1129,ok,
personal_site_book-blake,self,personal_site,Book Blake | blakemycoskie.com,https://blakemycoskie.com/book-blake,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_book-blake.txt,110,ok,
personal_site_book-blake-2,self,personal_site,Book Blake | blakemycoskie.com,https://blakemycoskie.com/book-blake-2,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_book-blake-2.txt,110,ok,
personal_site_book-blake-speaking-events,self,personal_site,Book Blake Speaking Events | blakemycoskie.com,https://blakemycoskie.com/book-blake-speaking-events,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_book-blake-speaking-events.txt,114,ok,
personal_site_connect,self,personal_site,Connect with Blake Mycoskie | Get in Touch,https://blakemycoskie.com/connect,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_connect.txt,225,ok,
personal_site_enough,self,personal_site,ENOUGH | Blake Mycoskie’s New Mission to Support Mental Wellness,https://blakemycoskie.com/enough,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_enough.txt,699,ok,
personal_site_news,self,personal_site,News – Post List | blakemycoskie.com,https://blakemycoskie.com/news,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_news.txt,214,ok,
personal_site_news-author-infoblakemycoskie-com,self,personal_site,Blake Mycoskie | blakemycoskie.com,https://blakemycoskie.com/news/author/infoblakemycoskie-com,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_news-author-infoblakemycoskie-com.txt,213,ok,
personal_site_news-category-uncategorized,self,personal_site,Uncategorized | blakemycoskie.com,https://blakemycoskie.com/news/category/uncategorized,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_news-category-uncategorized.txt,212,ok,
personal_site_news-in-waves-war,self,personal_site,In Waves & War | Now on Netflix | blakemycoskie.com,https://blakemycoskie.com/news/in-waves-war,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_news-in-waves-war.txt,184,ok,
personal_site_news-rich-roll-podcast,self,personal_site,Blake Mycoskie | Rich Roll Podcast | blakemycoskie.com,https://blakemycoskie.com/news/rich-roll-podcast,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_news-rich-roll-podcast.txt,109,ok,
personal_site_no-magic-pill-pod,self,personal_site,No Magic Pill Podcast by Blake Mycoskie | Mental Wellness,https://blakemycoskie.com/no-magic-pill-pod,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_no-magic-pill-pod.txt,650,ok,
personal_site_sample-page,self,personal_site,Sample Page | blakemycoskie.com,https://blakemycoskie.com/sample-page,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_sample-page.txt,167,ok,
personal_site_speaking,self,personal_site,Book Blake Mycoskie: Wellness & Social Impact Speaker,https://blakemycoskie.com/speaking,,2026-04-08T02:29:01.572295+00:00,blake/self/personal_site/2026-04-08_speaking.txt,606,ok,
