source_id,bucket,source_group,title,url,published_at,collected_at,file_path,word_count,status,notes
tim_ferriss_249,podcasts,tim_ferriss,The Tim Ferriss Show Transcripts: Blake Mycoskie (#249),https://tim.blog/2018/06/01/the-tim-ferriss-show-transcripts-blake-mycoskie/,2018-06-01T12:57:50,2026-04-08T01:40:49.427728+00:00,blake/podcasts/tim_ferriss/2018-06-01_tim_ferriss_249.txt,12155,ok,
tim_ferriss_446,podcasts,tim_ferriss,"The Tim Ferriss Show Transcripts: Blake Mycoskie — TOMS, The Hoffman Process, Conscious Uncoupling, and Psychedelics (#446)",https://tim.blog/2020/07/17/blake-mycoskie-2-transcript/,2020-07-17T00:58:05,2026-04-08T01:40:49.427728+00:00,blake/podcasts/tim_ferriss/2020-07-17_tim_ferriss_446.txt,14005,ok,
tim_ferriss_551,podcasts,tim_ferriss,The Tim Ferriss Show Transcripts: TOMS Founder Blake Mycoskie — Fear{less} with Tim Ferriss (#551),https://tim.blog/2021/12/05/blake-mycoskie-3-transcript/,2021-12-05T23:03:37,2026-04-08T01:40:49.427728+00:00,blake/podcasts/tim_ferriss/2021-12-05_tim_ferriss_551.txt,11358,ok,
youtube_7-uqMDtPAcM,podcasts,youtube,"Blake Mycoskie, Founder of TOMS | The Brave Ones",https://www.youtube.com/watch?v=7-uqMDtPAcM,20181001,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2018-10-01_7-uqMDtPAcM_blake-mycoskie-founder-of-toms-the-brave-ones.txt,15180,ok,channel=CNBC International Live; uploader=CNBC International Live
youtube_F_TfO2IN98c,podcasts,youtube,TOMS Shoes Founder on the Success That Nearly Broke Him,https://www.youtube.com/watch?v=F_TfO2IN98c,20260226,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2026-02-26_F_TfO2IN98c_toms-shoes-founder-on-the-success-that-nearly-broke-him.txt,41050,ok,channel=How Leaders Lead with David Novak; uploader=How Leaders Lead with David Novak
youtube_FeWkjl_Mync,podcasts,youtube,"Dean's Speaker Series | Blake Mycoskie, Founder, TOMS",https://www.youtube.com/watch?v=FeWkjl_Mync,20240209,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2024-02-09_FeWkjl_Mync_dean-s-speaker-series-blake-mycoskie-founder-toms.txt,31816,ok,channel=UC Berkeley Haas; uploader=UC Berkeley Haas
youtube_Jtbyxv34TMw,podcasts,youtube,"BLAKE MYCOSKIE, Founder of TOMS Shoes: More Connection and Less Performance, in Business and in Life",https://www.youtube.com/watch?v=Jtbyxv34TMw,20260115,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2026-01-15_Jtbyxv34TMw_blake-mycoskie-founder-of-toms-shoes-more-connection-and-les.txt,40210,ok,channel=Mentor Buffet; uploader=Mentor Buffet
youtube_NLHaru4iPt0,podcasts,youtube,"TOMS, Blake Mycoskie | How to Make BIG Marketing Moves to Grow Your Brand",https://www.youtube.com/watch?v=NLHaru4iPt0,20190118,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2019-01-18_NLHaru4iPt0_toms-blake-mycoskie-how-to-make-big-marketing-moves-to-grow.txt,10422,ok,channel=Behind the Brand; uploader=Behind the Brand
youtube_UOFLZ8hePRk,podcasts,youtube,Blake Mycoskie on the Mission Behind Toms,https://www.youtube.com/watch?v=UOFLZ8hePRk,20150908,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2015-09-08_UOFLZ8hePRk_blake-mycoskie-on-the-mission-behind-toms.txt,1076,ok,channel=Architectural Digest; uploader=Architectural Digest
youtube_dH0a_GPUiSU,podcasts,youtube,dH0a_GPUiSU,https://www.youtube.com/watch?v=dH0a_GPUiSU,,2026-04-08T01:40:49.427728+00:00,,0,error,Failed subtitle download for dH0a_GPUiSU
youtube_domK3ylcmQ4,podcasts,youtube,Blake Mycoskie: TOMS Shoes Founder on Changing Business and The World,https://www.youtube.com/watch?v=domK3ylcmQ4,20181224,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2018-12-24_domK3ylcmQ4_blake-mycoskie-toms-shoes-founder-on-changing-business-and-t.txt,45825,ok,channel=Lewis Howes; uploader=Lewis Howes
youtube_gbWj33Ej3rA,podcasts,youtube,The Rise And Fall Of Toms,https://www.youtube.com/watch?v=gbWj33Ej3rA,20200509,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2020-05-09_gbWj33Ej3rA_the-rise-and-fall-of-toms.txt,4665,ok,channel=Business Insider; uploader=Business Insider
youtube_hoA68-gXIto,podcasts,youtube,TOMS Founder on Being a Lifelong Seeker: Blake Mycoskie | Rich Roll Podcast,https://www.youtube.com/watch?v=hoA68-gXIto,20201123,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2020-11-23_hoA68-gXIto_toms-founder-on-being-a-lifelong-seeker-blake-mycoskie-rich.txt,59193,ok,channel=Rich Roll; uploader=Rich Roll
youtube_jpM7pbgLK_k,podcasts,youtube,Entrepreneur Blake Mycoskie shares new mission following mental health struggles,https://www.youtube.com/watch?v=jpM7pbgLK_k,20260105,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2026-01-05_jpM7pbgLK_k_entrepreneur-blake-mycoskie-shares-new-mission-following-men.txt,2856,ok,channel=CBS Mornings; uploader=CBS Mornings
youtube_oDGJcf00fpg,podcasts,youtube,He Had Everything. Midlife Broke Him Anyway | Blake Mycoskie,https://www.youtube.com/watch?v=oDGJcf00fpg,20260116,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2026-01-16_oDGJcf00fpg_he-had-everything-midlife-broke-him-anyway-blake-mycoskie.txt,40362,ok,channel=The Midlife Chrysalis Podcast; uploader=The Midlife Chrysalis Podcast
youtube_onZC4N1_hWk,podcasts,youtube,How to Start A Business With NO Money | Blake Mycoskie (Founder of TOMS),https://www.youtube.com/watch?v=onZC4N1_hWk,20260213,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2026-02-13_onZC4N1_hWk_how-to-start-a-business-with-no-money-blake-mycoskie-founder.txt,45634,ok,channel=BigDeal by Codie Sanchez; uploader=BigDeal by Codie Sanchez
youtube_s6msveTjZXQ,podcasts,youtube,Toms Founder Blake Mycoskie Announces $5 Million Donation to End Gun Violence,https://www.youtube.com/watch?v=s6msveTjZXQ,20181120,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2018-11-20_s6msveTjZXQ_toms-founder-blake-mycoskie-announces-5-million-donation-to.txt,1110,ok,channel=The Tonight Show Starring Jimmy Fallon; uploader=The Tonight Show Starring Jimmy Fallon
youtube_vhNarj7nqgs,podcasts,youtube,Blake Mycoskie Interview on TOMS Shoes Story & Business Model for Social Responsibility,https://www.youtube.com/watch?v=vhNarj7nqgs,20231009,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2023-10-09_vhNarj7nqgs_blake-mycoskie-interview-on-toms-shoes-story-business-model.txt,26716,ok,channel=Star Sessions; uploader=Star Sessions
youtube_wjGV9pdE-vU,podcasts,youtube,Blake Mycoskie: How to do good AND make money (TOMS brand),https://www.youtube.com/watch?v=wjGV9pdE-vU,20190302,2026-04-08T01:40:49.427728+00:00,blake/podcasts/youtube/2019-03-02_wjGV9pdE-vU_blake-mycoskie-how-to-do-good-and-make-money-toms-brand.txt,23868,ok,channel=Behind the Brand; uploader=Behind the Brand
substack_i-had-everything-it-still-wasnt-enough,self,substack,I Had Everything. It Still Wasn’t Enough.,https://nomagicpills.substack.com/p/i-had-everything-it-still-wasnt-enough,"Sat, 10 Jan 2026 00:03:08 GMT",2026-04-08T01:40:49.427728+00:00,blake/self/substack/2026-01-10_i-had-everything-it-still-wasnt-enough.txt,888,ok,
substack_the-truth-showed-up-between-the-shots,self,substack,The Truth Showed Up Between the Shots,https://nomagicpills.substack.com/p/the-truth-showed-up-between-the-shots,"Wed, 17 Dec 2025 19:34:42 GMT",2026-04-08T01:40:49.427728+00:00,blake/self/substack/2025-12-17_the-truth-showed-up-between-the-shots.txt,751,ok,
substack_too-many-apps-open,self,substack,Too Many Apps Open,https://nomagicpills.substack.com/p/too-many-apps-open,"Fri, 28 Nov 2025 16:31:18 GMT",2026-04-08T01:40:49.427728+00:00,blake/self/substack/2025-11-28_too-many-apps-open.txt,696,ok,
substack_when-the-ego-gets-bored-it-starts,self,substack,"When the Ego Gets Bored, it Starts a Fire",https://nomagicpills.substack.com/p/when-the-ego-gets-bored-it-starts,"Thu, 09 Oct 2025 13:28:57 GMT",2026-04-08T01:40:49.427728+00:00,blake/self/substack/2025-10-09_when-the-ego-gets-bored-it-starts.txt,818,ok,
