username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness;apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1009119353968878,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1015231872,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
1016413593,apify_hashtag:#mentalhealthawareness,2026-04-08T16:46:34.245858+00:00
1019740198164310,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1034043745451035,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
104171944765635,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
1065896500904547,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1095390880667569,apify_hashtag:#mentalhealthawareness,2026-04-08T16:46:34.245858+00:00
1095580715724998,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
11106800735,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
111667504998402,apify_hashtag:#mentalhealthawareness,2026-04-08T16:46:34.245858+00:00
114060546635806,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1160645188237008,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1166690270138653,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1168402424567167,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1170007527760666,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1171035642,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1207669176689761,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1218822276280174,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
12326942235,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
1278234089450575,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1285929135385159,apify_hashtag:#mentalhealthawareness,2026-04-08T16:46:34.245858+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
1303837350984629,apify_hashtag:#enoughmovement,2026-04-08T16:46:34.245858+00:00
1314059688,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
1316619915923313,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
1321242359,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
1337860393,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
1349976694,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
13574837050,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
137797727089493,apify_hashtag:#mentalhealth,2026-04-08T16:46:34.245858+00:00
1424809115439700,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1448036448988176,apify_hashtag:#therapy,2026-04-08T16:46:34.245858+00:00
1466131188136916842,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:46:34.245858+00:00
15021217043,apify_hashtag:#anxietyhelp,2026-04-08T16:46:34.245858+00:00
1520932284707537,apify_hashtag:#mentalhealthawareness,2026-04-08T16:46:34.245858+00:00
