username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness;apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1004837641,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1015973224023273,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1028385393681876,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1034801921584636,apify_hashtag:#mentalhealth,2026-04-08T12:30:05.059576+00:00
104171944765635,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
106377336067638,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1085644609856651,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1091174566,apify_hashtag:#anxietyhelp,2026-04-08T12:30:05.059576+00:00
1097025279225888,apify_hashtag:#mentalhealth,2026-04-08T12:30:05.059576+00:00
11106800735,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
113380813379827,apify_hashtag:#mentalhealth,2026-04-08T12:30:05.059576+00:00
1160182277488753,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1183395925475663,apify_hashtag:#anxietyhelp,2026-04-08T12:30:05.059576+00:00
1202970025075389,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
12047224380,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1218822276280174,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1248855875621104,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1282783733450564,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
12902582792,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1303837350984629,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1316619915923313,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
1337860393,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
13464168286,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
139394336657093,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1399353964613152,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
14432149096,apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1449832369477879558,apify_hashtag:#anxietyhelp,2026-04-08T12:30:05.059576+00:00
1467785471146060,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1506292698,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1518086908529095,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
158449903156765,apify_hashtag:#mentalhealthadvocate,2026-04-08T12:30:05.059576+00:00
1594914420849621,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
159504299482562,apify_hashtag:#enoughmovement,2026-04-08T12:30:05.059576+00:00
1599977510,apify_hashtag:#anxietyhelp;apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1606728520351473,apify_hashtag:#therapy,2026-04-08T12:30:05.059576+00:00
1619739925,apify_hashtag:#mentalhealth,2026-04-08T12:30:05.059576+00:00
1634338563851935,apify_hashtag:#mentalhealthawareness,2026-04-08T12:30:05.059576+00:00
1646917102720161,apify_hashtag:#mentalhealth,2026-04-08T12:30:05.059576+00:00
