username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness;apify_hashtag:#therapy,2026-04-07T23:03:57.460933+00:00
10644668538,apify_hashtag:#mentalhealthadvocate,2026-04-07T23:03:57.460933+00:00
11319779,apify_hashtag:#mentalhealthawareness,2026-04-07T23:03:57.460933+00:00
1182932687103778,apify_hashtag:#therapy,2026-04-07T23:03:57.460933+00:00
122300,apify_hashtag:#mentalhealth,2026-04-07T23:03:57.460933+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-07T23:03:57.460933+00:00
1248753355807494,apify_hashtag:#mentalhealthawareness,2026-04-07T23:03:57.460933+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-07T23:03:57.460933+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-07T23:03:57.460933+00:00
1303837350984629,apify_hashtag:#enoughmovement,2026-04-07T23:03:57.460933+00:00
1396638178068096,apify_hashtag:#mentalhealth,2026-04-07T23:03:57.460933+00:00
1533417694270019,apify_hashtag:#therapy,2026-04-07T23:03:57.460933+00:00
18290269060011861,apify_hashtag:#mentalhealthadvocate,2026-04-07T23:03:57.460933+00:00
18292324948126698,apify_hashtag:#mentalhealthawareness,2026-04-07T23:03:57.460933+00:00
18398638714101126,apify_hashtag:#mentalhealthadvocate,2026-04-07T23:03:57.460933+00:00
18421190017098124,apify_hashtag:#mentalhealth,2026-04-07T23:03:57.460933+00:00
18451069828060690,apify_hashtag:#therapy,2026-04-07T23:03:57.460933+00:00
1876860963041310,apify_hashtag:#mentalhealth,2026-04-07T23:03:57.460933+00:00
19896121,apify_hashtag:#mentalhealthadvocate,2026-04-07T23:03:57.460933+00:00
2537459937484491970,apify_hashtag:#mentalhealthawareness,2026-04-07T23:03:57.460933+00:00
294099396,apify_hashtag:#therapy,2026-04-07T23:03:57.460933+00:00
3551736287,apify_hashtag:#anxietyhelp,2026-04-07T23:03:57.460933+00:00
3870326652409047833,apify_hashtag:#anxietyhelp,2026-04-07T23:03:57.460933+00:00
3870326652492908745,apify_hashtag:#anxietyhelp,2026-04-07T23:03:57.460933+00:00
3870326652492921046,apify_hashtag:#anxietyhelp,2026-04-07T23:03:57.460933+00:00
active_minds,manual_seed,2026-04-07T23:03:57.460933+00:00
anxiety_wellness,aggregator_seed,2026-04-07T23:03:57.460933+00:00
drjennywang,manual_seed,2026-04-07T23:03:57.460933+00:00
mentalhealthamerica,manual_seed,2026-04-07T23:03:57.460933+00:00
mentalhealthmatch,aggregator_seed,2026-04-07T23:03:57.460933+00:00
mindcharity,manual_seed,2026-04-07T23:03:57.460933+00:00
mindful__living,aggregator_seed,2026-04-07T23:03:57.460933+00:00
mindful__mamas,aggregator_seed,2026-04-07T23:03:57.460933+00:00
mindsettherapy,aggregator_seed,2026-04-07T23:03:57.460933+00:00
mytherapistsays,aggregator_seed,2026-04-07T23:03:57.460933+00:00
nedratawwab,manual_seed,2026-04-07T23:03:57.460933+00:00
selfcareisforeveryone,manual_seed,2026-04-07T23:03:57.460933+00:00
sitwithwhit,manual_seed,2026-04-07T23:03:57.460933+00:00
the.holistic.psychologist,manual_seed,2026-04-07T23:03:57.460933+00:00
theanxietyhealer,manual_seed,2026-04-07T23:03:57.460933+00:00
thegoodquote,aggregator_seed,2026-04-07T23:03:57.460933+00:00
thementalhealthspot,aggregator_seed,2026-04-07T23:03:57.460933+00:00
therapyforwomen,aggregator_seed,2026-04-07T23:03:57.460933+00:00
therapyjeff,manual_seed,2026-04-07T23:03:57.460933+00:00
therapynotebooks,aggregator_seed,2026-04-07T23:03:57.460933+00:00
