username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness,2026-04-08T10:12:20.651080+00:00
1074161543945629,apify_hashtag:#therapy,2026-04-08T10:12:20.651080+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-08T10:12:20.651080+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-08T10:12:20.651080+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-08T10:12:20.651080+00:00
1303837350984629,apify_hashtag:#enoughmovement,2026-04-08T10:12:20.651080+00:00
1399052485,apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthawareness,2026-04-08T10:12:20.651080+00:00
1449832369477879558,apify_hashtag:#anxietyhelp,2026-04-08T10:12:20.651080+00:00
1509385062879056,apify_hashtag:#mentalhealth,2026-04-08T10:12:20.651080+00:00
1788868351421362,apify_hashtag:#mentalhealth,2026-04-08T10:12:20.651080+00:00
18148686109021878,apify_hashtag:#mentalhealth,2026-04-08T10:12:20.651080+00:00
18240258169078113,apify_hashtag:#mentalhealthawareness,2026-04-08T10:12:20.651080+00:00
18408447823020299,apify_hashtag:#therapy,2026-04-08T10:12:20.651080+00:00
18445188625012119,apify_hashtag:#therapy,2026-04-08T10:12:20.651080+00:00
18512375245022792,apify_hashtag:#therapy,2026-04-08T10:12:20.651080+00:00
1903859664,apify_hashtag:#anxietyhelp,2026-04-08T10:12:20.651080+00:00
1919178928894333,apify_hashtag:#therapy,2026-04-08T10:12:20.651080+00:00
2227677422,apify_hashtag:#anxietyhelp,2026-04-08T10:12:20.651080+00:00
2432240845213446750,apify_hashtag:#anxietyhelp,2026-04-08T10:12:20.651080+00:00
2686745831573524,apify_hashtag:#mentalhealthawareness,2026-04-08T10:12:20.651080+00:00
3822937130834637129,apify_hashtag:#mentalhealthawareness,2026-04-08T10:12:20.651080+00:00
3870687716946659639,apify_hashtag:#mentalhealthadvocate,2026-04-08T10:12:20.651080+00:00
3870688080299179266,apify_hashtag:#mentalhealthadvocate,2026-04-08T10:12:20.651080+00:00
3870689101704502989,apify_hashtag:#mentalhealthadvocate,2026-04-08T10:12:20.651080+00:00
3870689905140179337,apify_hashtag:#mentalhealthadvocate,2026-04-08T10:12:20.651080+00:00
active_minds,manual_seed,2026-04-08T10:12:20.651080+00:00
anxiety_wellness,aggregator_seed,2026-04-08T10:12:20.651080+00:00
drjennywang,manual_seed,2026-04-08T10:12:20.651080+00:00
mentalhealthamerica,manual_seed,2026-04-08T10:12:20.651080+00:00
mentalhealthmatch,aggregator_seed,2026-04-08T10:12:20.651080+00:00
mindcharity,manual_seed,2026-04-08T10:12:20.651080+00:00
mindful__living,aggregator_seed,2026-04-08T10:12:20.651080+00:00
mindful__mamas,aggregator_seed,2026-04-08T10:12:20.651080+00:00
mindsettherapy,aggregator_seed,2026-04-08T10:12:20.651080+00:00
mytherapistsays,aggregator_seed,2026-04-08T10:12:20.651080+00:00
nedratawwab,manual_seed,2026-04-08T10:12:20.651080+00:00
selfcareisforeveryone,manual_seed,2026-04-08T10:12:20.651080+00:00
sitwithwhit,manual_seed,2026-04-08T10:12:20.651080+00:00
the.holistic.psychologist,manual_seed,2026-04-08T10:12:20.651080+00:00
theanxietyhealer,manual_seed,2026-04-08T10:12:20.651080+00:00
thegoodquote,aggregator_seed,2026-04-08T10:12:20.651080+00:00
thementalhealthspot,aggregator_seed,2026-04-08T10:12:20.651080+00:00
therapyforwomen,aggregator_seed,2026-04-08T10:12:20.651080+00:00
therapyjeff,manual_seed,2026-04-08T10:12:20.651080+00:00
therapynotebooks,aggregator_seed,2026-04-08T10:12:20.651080+00:00
