username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness;apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
1000570328196130,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
10103291398,apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1015231872,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1019007042898607,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1040982533497430,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
104171944765635,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
10805734337,apify_hashtag:#anxietyhelp,2026-04-08T16:05:48.555333+00:00
1103528729827820,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
110698580620776,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
11106800735,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1152886082617565,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1155251712761153,apify_hashtag:#mentalhealthadvocate,2026-04-08T16:05:48.555333+00:00
1159994879443757,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1166757350168502,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
118274591238805,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
11948120412,apify_hashtag:#mentalhealth,2026-04-08T16:05:48.555333+00:00
1218822276280174,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1223327714,apify_hashtag:#therapy,2026-04-08T16:05:48.555333+00:00
1232102758720604,apify_hashtag:#mentalhealthawareness,2026-04-08T16:05:48.555333+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-08T16:05:48.555333+00:00
