username,source,discovered_at
_lisaolivera,manual_seed,2026-04-08T17:29:01.752208+00:00
ablackfemaletherapist,manual_seed,2026-04-08T17:29:01.752208+00:00
adamyoungcounseling,manual_seed,2026-04-08T17:29:01.752208+00:00
advocating.mentalhealth,manual_seed,2026-04-08T17:29:01.752208+00:00
akoma_counseling,manual_seed,2026-04-08T17:29:01.752208+00:00
al.mindful.therapist,manual_seed,2026-04-08T17:29:01.752208+00:00
alex_elle,manual_seed,2026-04-08T17:29:01.752208+00:00
allira.potter,manual_seed,2026-04-08T17:29:01.752208+00:00
allycinhicks,manual_seed,2026-04-08T17:29:01.752208+00:00
alyssamariewellness,manual_seed,2026-04-08T17:29:01.752208+00:00
amandakazzycryer,manual_seed,2026-04-08T17:29:01.752208+00:00
anxiety_wellness,aggregator_seed,2026-04-08T17:29:01.752208+00:00
anxietyjosh,manual_seed,2026-04-08T17:29:01.752208+00:00
anxietysupportdaily,aggregator_seed,2026-04-08T17:29:01.752208+00:00
ashparaskevas,manual_seed,2026-04-08T17:29:01.752208+00:00
asiansformentalhealth,manual_seed,2026-04-08T17:29:01.752208+00:00
askdrjess,manual_seed,2026-04-08T17:29:01.752208+00:00
awkwardgoat3,manual_seed,2026-04-08T17:29:01.752208+00:00
beanstheblogger,manual_seed,2026-04-08T17:29:01.752208+00:00
betterhelp,manual_seed,2026-04-08T17:29:01.752208+00:00
blackandembodied,manual_seed,2026-04-08T17:29:01.752208+00:00
blkfolxtherapy,manual_seed,2026-04-08T17:29:01.752208+00:00
brainbodydoc,manual_seed,2026-04-08T17:29:01.752208+00:00
brittanyantoinette,manual_seed,2026-04-08T17:29:01.752208+00:00
cafe.convo.therapy,manual_seed,2026-04-08T17:29:01.752208+00:00
caitlinfladager,manual_seed,2026-04-08T17:29:01.752208+00:00
calm,manual_seed,2026-04-08T17:29:01.752208+00:00
childlifetherapist,manual_seed,2026-04-08T17:29:01.752208+00:00
chinaealexander,manual_seed,2026-04-08T17:29:01.752208+00:00
cowboydynamite,manual_seed,2026-04-08T17:29:01.752208+00:00
cptsdwarriors,aggregator_seed,2026-04-08T17:29:01.752208+00:00
crazyheadcomics,manual_seed,2026-04-08T17:29:01.752208+00:00
