username,source,discovered_at
0,apify_hashtag:#anxietyhelp;apify_hashtag:#enoughmovement;apify_hashtag:#mentalhealth;apify_hashtag:#mentalhealthadvocate;apify_hashtag:#mentalhealthawareness;apify_hashtag:#therapy,2026-04-15T19:10:29.173746+00:00
108659242498155,apify_hashtag:#enoughmovement,2026-04-15T19:10:29.173746+00:00
1092134621,apify_hashtag:#mentalhealth;apify_hashtag:#therapy,2026-04-15T19:10:29.173746+00:00
1095239752045070,apify_hashtag:#mentalhealthawareness,2026-04-15T19:10:29.173746+00:00
1236581063159137,apify_hashtag:#enoughmovement,2026-04-15T19:10:29.173746+00:00
1257569794446542,apify_hashtag:#enoughmovement,2026-04-15T19:10:29.173746+00:00
1298902100,apify_hashtag:#enoughmovement,2026-04-15T19:10:29.173746+00:00
14299220569,apify_hashtag:#mentalhealthadvocate,2026-04-15T19:10:29.173746+00:00
1808600772,apify_hashtag:#mentalhealthadvocate,2026-04-15T19:10:29.173746+00:00
18373491721003765,apify_hashtag:#mentalhealthadvocate,2026-04-15T19:10:29.173746+00:00
18463917529026334,apify_hashtag:#mentalhealthawareness,2026-04-15T19:10:29.173746+00:00
211529586,apify_hashtag:#mentalhealthadvocate,2026-04-15T19:10:29.173746+00:00
21452481644,apify_hashtag:#mentalhealth,2026-04-15T19:10:29.173746+00:00
2259270101,apify_hashtag:#therapy,2026-04-15T19:10:29.173746+00:00
301979746,apify_hashtag:#mentalhealthawareness,2026-04-15T19:10:29.173746+00:00
36449172865,apify_hashtag:#therapy,2026-04-15T19:10:29.173746+00:00
38275689680,apify_hashtag:#mentalhealthawareness,2026-04-15T19:10:29.173746+00:00
3876036918635217729,apify_hashtag:#anxietyhelp,2026-04-15T19:10:29.173746+00:00
3876036919348264201,apify_hashtag:#anxietyhelp,2026-04-15T19:10:29.173746+00:00
3876036919658676023,apify_hashtag:#anxietyhelp,2026-04-15T19:10:29.173746+00:00
3876036919683794143,apify_hashtag:#anxietyhelp,2026-04-15T19:10:29.173746+00:00
3876039326065033181,apify_hashtag:#mentalhealth,2026-04-15T19:10:29.173746+00:00
3876039329000991047,apify_hashtag:#mentalhealth,2026-04-15T19:10:29.173746+00:00
3876040926569517274,apify_hashtag:#therapy,2026-04-15T19:10:29.173746+00:00
drjennywang,manual_seed,2026-04-15T19:10:29.173746+00:00
mentalhealthmatch,aggregator_seed,2026-04-15T19:10:29.173746+00:00
mindful__living,aggregator_seed,2026-04-15T19:10:29.173746+00:00
mindsettherapy,aggregator_seed,2026-04-15T19:10:29.173746+00:00
nedratawwab,manual_seed,2026-04-15T19:10:29.173746+00:00
sitwithwhit,manual_seed,2026-04-15T19:10:29.173746+00:00
the.holistic.psychologist,manual_seed,2026-04-15T19:10:29.173746+00:00
thegoodquote,aggregator_seed,2026-04-15T19:10:29.173746+00:00
therapyforwomen,aggregator_seed,2026-04-15T19:10:29.173746+00:00
therapyjeff,manual_seed,2026-04-15T19:10:29.173746+00:00
